name,screen_name,text,polarity,subjectivity,label
Rina,dikshit_rina,Don't forget #NEET #OROP #demonetization #CashHoldingLimit #Rs2000SubscriptionForPoliticalParty etc all done byâ€_ https://t.co/YY4OeWshRy,0,0,NEGATIVE
Ankita Lodh,TheBongGirl,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Akash Sethia,akash_sethia,@rahulsinghx à__à¥ˆ.... I thought all these was over with demonetization. No? OMG !!,0,0,NEGATIVE
VCA Updates,VcaUpdates,Delay in payment under IDS due to demonetization unacceptable- Bombay High Court dismisses writ Read More : https://t.co/2b8PHiu69K,0.18,0.47,POSITIVE
Tripat Mehrotra,TripatM,RT @yksingh26: Wasn't #DeMonetisation supposed to curb stone pelting ?Didn't we hear voices propagating theories that Demonetization has drâ€_,0,0,NEGATIVE
Jinesh jain,Jineshjain12,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
k.chari,kchari2,"@BalakrishnanY @thanthitv When Demonetization is over,why banks never operate ATMs all over?Why nobody bother aboutâ€_ https://t.co/juUMSSmM1O",0,0,NEGATIVE
GVK,GanaVK,"@TheJaggi Indeed unless @rupasubramanya now thinks GST , demonetization, digital India are not reforms which she said r some of the biggest!",0,0,NEGATIVE
The Notorious One,AngelusArch,RT @fidonomics: Current best is #Pichaikaran  .. Hope everyone remembers those #Demonetization effect promos,0.5,0.35,POSITIVE
Xavier Savoieâ„¢,LazorVideos,I liked a @YouTube video https://t.co/vj80d7ZAXK YouTube Demonetization is Completely F*cking Random,0.05,0.65,POSITIVE
Pankj,AntiBoringAgent,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Criticizing Feminism,criticfemism,[Dr Shaym (uploads) on YouTube] YouTube Demonetization is Completely F*cking Random https://t.co/UsssYBydm0,-0.5,0.5,NEGATIVE
Karmanya Singh Bohra,karmanyaSbohra,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Mitesh  Amin,mituamin,The latest The Demonetization Daily! https://t.co/Ij69Fs1rFa Thanks to @jjowen @serpentinfinity @GillesCutaya #ertc #youtube,0.23,0.37,POSITIVE
Sharda yadav,abhinav5349,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Dhruv Vanawat,DVital_,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Mayank Jhariya,MynkKumar,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Seekho aur Samjho,SeekhoSamjho21,I liked a @YouTube video https://t.co/zt4P0FWF2y Youtube Demonetization se related 25 sawaal. à¥¨à¥« à_¸à_µà__à__,0.3,0.6,POSITIVE
R@hul,ImRahul_17,"RT @aaanupriyaaa: Dear @evanspiegel India is so rich that PM Narendra Modi had to implement demonetization to find out who is actually pooâ€_",0.19,0.42,POSITIVE
Hi-TechDays,hitechdayscom,"What are our Partners doing in #India? Demonetization and #Digital Vision #news #rthttps://t.co/mnPdF5ixb0",0,0,NEGATIVE
